Charity,Donated,2020,2021,2022,2023,2024,2025,2026,Transferred,2020,2021,2022,2023,2024,2025,2026
"Nuestros Pequeños Hermanos (NPH)",,"","","","","","","146",,"","","","","","","",
"GOAL Global",,"","","","122.98","15","888","43",,"","","","","","","",
"Andreas Edge Trust",,"","","","","","","220",,"","","","","","","",
"Hellen Keller Intl",,"","","","","10","600","",,"","","","","","","",
"Make A Wish",,"","70","","","","","35",,"","","","2.31","","","",
"World Animal Protection",,"","","30","70","85","30","",,"","","","0.83","6.59","","",
"Aidsfonds",,"","","30","945","106.41","9589","",,"","","","","46.96","10.17","",
"Ronald McDonald Kinderfonds",,"","","","","","50","75",,"","","","","","","",
"Conservation International",,"","","","","","","463.07",,"","","","","","","",
"Children's Health Foundation",,"","","20","133.71","174.17","444","",,"","","","","","","",
"Donate Effectively: Poverty and Health fund",,"","","","","","","10",,"","","","","","","",
"Evidence Aid",,"","","","10","","289","",,"","","","","","","",
"Magic Breakfast",,"","","","113.77","148.64","171","",,"","","","","","","",
"Theme: environment",,"","","","","332.54","1011","150",,"","","","","","","",
"Doneer Effectief: Poverty and Health fund",,"","","","","","10","",,"","","","","","","",
"Fund: Social Impact Factory fonds",,"","","","62","85.11","","",,"","","","","","","",
"Protected Cradle Foundation",,"","","","","20","","",,"","","","","","","",
"Armoedefonds",,"","","","","","10","",,"","","","","","","",
"KWF Kankerbestrijding",,"","","","","","50","",,"","","","","","","",
"Kinderhulp",,"50","85","327","165","315","408","75",,"","7.15","3.73","7.1","40.3","10.36","",
"GiveDirectly",,"","","","","75","1895","",,"","","","","","","",
"Black Jaguar Foundation",,"","35","82","86.62","615.81","1902","125",,"","","","1.16","33.01","8.07","",
"Christoffel Blindenmission",,"","","","","","","30.03",,"","","","","","","",
"AMBER Alert Europe Foundation",,"","","7","98.05","212.7","2656","5",,"","","","","13.48","","",
"Heifer international",,"","","","","","","43",,"","","","","","","",
"Imagine Worldwide",,"","","","","10","1160","",,"","","","","","","",
"Het Vergeten Kind",,"","","","","","30","25",,"","","","","","","",
"Hartstichting",,"","50","","","","","",,"","","","1.65","","","",
"Andreas Steinmann International Trust",,"","","","","","405","",,"","","","","","","",
"Greenpeace Netherlands",,"","","","","","462","29",,"","","","","","","",
"Breakthrough",,"","","","","10","672","",,"","","","","","","",
"Theme: vulnerable people",,"","","","10","","60","355.87",,"","","","","","","",
"Center for Domestic Violence Prevention (CEDOVIP)",,"","","","","25","689","55",,"","","","","","","",
"No Kid Hungry",,"","","","","","","4",,"","","","","","","",
"Save the Children",,"","","","","","30","",,"","","","","","","",
"Free Press Unlimited",,"50","35","850","85.47","215","312","5",,"","7.15","3.73","6.82","59.66","13.47","",
"The Lunchbox Fund",,"","","","","","","213",,"","","","","","","",
"Alzheimer Nederland",,"","135","224","261","383.05","8004","50",,"","","","4.46","42.94","10.31","",
"Theme: education",,"","","","","10","597","838.44",,"","","","","","","",
"010010",,"","","","","","","",,"","","","","","","",
"UAF",,"","10","24","","","","5",,"","","","0.33","","","",
"St Mungo’s",,"","","","","","","5",,"","","","","","","",
"900M",,"","","","","","","35",,"","","","","","","",
"Dream4Kids",,"50","5","103","73","71.2","513","25",,"","7.15","3.73","3.79","14.95","","",
"North Sea Foundation",,"","","80","59.92","107.02","435","",,"","","","","11.3","","",
"Theme: health",,"","","","","10","","",,"","","","","","","",
"Theme: culture and art",,"","","","","11.31","","",,"","","","","","","",
