"Id","Name","BankName","BankBic","BankAccount","Currency","Amount"
"11457","North Sea Foundation","","","","EUR","11.58"
"11536","Brooke Hospital for Animals Nederland","","","","EUR","4.69"
"12411","Aidsfonds","","","","EUR","282.91"
"12423","AMBER Alert Europe Foundation","","","","EUR","75.73"
"12628","Kula Loans International","","","","EUR","6.07"
"12649","Children's Health Foundation","","","","EUR","35.84"
"12654","Kinder World","","","","EUR","39.9"
"12711","GOAL Global","","","","EUR","20.84"
"13008","Fund: Lea Fund for sudden cardiac death in young people","","","","EUR","9.09"
"13031","The Guardian Foundation","","","","EUR","2.64"
"13723","AAA Orphanage India","","","","EUR","73.03"
"14067","Foundation DierenLot","","","","EUR","1.87"
"14645","Magic Breakfast","","","","EUR","21.08"
"14766","Evidence Aid","","","","EUR","0.93"
"14941","Open Info","","","","EUR","0.69"
"15209","Jeugdeducatiefonds","","","","EUR","6.55"
"15215","Thuisgekookt Foundation","","","","EUR","4.74"
"15309","Strong Babies","","","","EUR","3.52"
"15393","BIG Bear Foundation","","","","EUR","48.47"
"15395","Mac Academy Foundation","","","","EUR","4.54"
"16019","Fund: Social Impact Factory fonds","","","","EUR","8.36"
"16133","Protected Cradle Foundation","","","","EUR","1.65"
"16793","EIDU","","","","EUR","40.24"
"16794","Teaching at the Right Level Africa","","","","EUR","42.64"
"16795","Iodine Global Network","","","","EUR","139.14"
"16796","Educate Girls","","","","EUR","202.92"
"16797","New Incentives","","","","EUR","31.38"
"16798","Hellen Keller Intl","","","","EUR","6"
"16799","Malaria Consortium","","","","EUR","66.94"
"16800","Animal Charity Evaluators Fund","","","","EUR","43.03"
"16825","GiveDirectly","","","","EUR","56.23"
"16826","Evidence Action","","","","EUR","9.14"
"16827","Friendship Bench","","","","EUR","9.7"
"16828","StrongMinds","","","","EUR","3.95"
"16829","Against Malaria Foundation","","","","EUR","731"
"16830","Stichting Doneer Effectief: Climate Fund","","","","EUR","152.75"
"16831","Imagine Worldwide","","","","EUR","8.71"
"16849","Center for Domestic Violence Prevention (CEDOVIP)","","","","EUR","22.87"
"16850","Breakthrough","","","","EUR","20.59"
"16851","Village Enterprise","","","","EUR","18.65"
"16852","One Acre Fund","","","","EUR","8.78"
"16853","Innovations for Poverty Action","","","","EUR","24.36"
"16868","Raising The Village","","","","EUR","0.37"
"16869","Population Services International (PSI)","","","","EUR","2.2"
"16870","Oxfam","","","","EUR","41.33"
"17242","Wikimedia Foundation","","","","EUR","67.13"
"17538","ALS Foundation The Netherlands","","","","EUR","146.96"
"17539","National MS Fund The Netherlands","","","","EUR","17.17"
"17563","Greenpeace Netherlands","","","","EUR","13.63"
"17597","Andreas Steinmann Trust","","","","EUR","11.79"
"17611","Andreas Steinmann Enterprise Trust","","","","EUR","11.57"
"17612","Andreas Steinmann International Trust","","","","EUR","11.79"
"18813","Andreas Steinmann AID Trust","","","","EUR","1.67"
"18910","MIND Us","","","","EUR","0.69"
"18920","Hersenstichting (Brain Foundation)","","","","EUR","0.69"
"18923","Ronald McDonald Children&#8217;s Fund","","","","EUR","1.8"
"19068","Ambulance Wish Foundation","","","","EUR","9.44"
"19196","Ronald McDonald Kinderfonds","","","","EUR","3.42"
"19238","Hersenstichting (Brain Foundation)","","","","EUR","0.02"
"19242","MIND Us","","","","EUR","0.13"
"19253","Plan International","","","","EUR","0.69"
"19257","KWF Kankerbestrijding","","","","EUR","1.39"
"20344","Geef voor Gaia","","","","EUR","11.17"
"20909","Donate Effectively: Poverty and Health fund","","","","EUR","0.26"
"20910","Doneer Effectief: Poverty and Health fund","","","","EUR","0.27"
"20914","Landschap Overijssel","","","","EUR","0.69"
"20920","Landschapsbeheer Gelderland","","","","EUR","0.96"
"20924","Dierenbescherming","","","","EUR","0.82"
"20925","Dierenbescherming","","","","EUR","3.9"
"20931","Doneer Effectief: Animal Welfare &#038; Food Transition","","","","EUR","0.27"
"20932","Doneer Effectief: Animal Welfare &#038; Food Transition","","","","EUR","2.62"
"20939","JustDiggit","","","","EUR","0.69"
"20940","JustDiggit","","","","EUR","0.27"
"20945","The Ocean Cleanup","","","","EUR","4.85"
"20946","The Ocean Cleanup","","","","EUR","0.54"
"20955","Amnesty International","","","","EUR","0.25"
"20958","Meer dan Gewenst","","","","EUR","0.67"
"20964","Médecins Sans Frontières","","","","EUR","4.87"
"20965","Médecins Sans Frontières","","","","EUR","0.27"
"20969","Het Vergeten Kind","","","","EUR","3.49"
"20970","Het Vergeten Kind","","","","EUR","1.51"
"20974","Stichting Lezen en Schrijven","","","","EUR","0.81"
"20980","Zorgeloos naar School","","","","EUR","1.37"
"20985","Etty Goes Uganda","","","","EUR","0.69"
"21005","Edukans","","","","EUR","3.62"
"21023","Armoedefonds","","","","EUR","3.19"
"21024","Armoedefonds","","","","EUR","0.27"
"21036","Voedselbank Deventer","","","","EUR","0.83"
"21040","Voedselbank Enschede-Haaksbergen","","","","EUR","0.69"
"21138","Andreas Steinmann Society","","","","EUR","3.35"
"21201","Oasebos","","","","EUR","0.69"
"21349","Save the Children","","","","EUR","0.81"
"21473","Andreas Earth Trust","","","","EUR","5.95"
"21481","Andreas Edge Trust","","","","EUR","5.95"
"21541","900M","","","","EUR","0.94"
"21573","Wild Camel Protection Foundation (WCPF)","","","","EUR","0.81"
"21616","Mary&#8217;s Meals","","","","EUR","0.13"
"21660","Lebenshilfe Oberösterreich","","","","EUR","0.13"
"21740","Christoffel Blindenmission","","","","EUR","0.53"
